,X,biomarker_ID,main_Xref,assessed_biomarker_entity,biomarker_status,best_biomarker_type,specimen_type,loinc_code,condition_name,assessed_entity_type,evidence_source,notes,system,DOID,Names,rsID
6482,6365,,dbSNP:rs11632038,"rs11632038 mutation in N-acetylgalactosamine kinase (cDNA, FLJ79339, highly similar to N-acetylgalactosamine kinase) (GALK2) ",presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=GALK2,UPKB:B7ZAX5|GRCh38 ,,1324,"N-acetylgalactosamine kinase (cDNA, FLJ79339, highly similar to N-acetylgalactosamine kinase)",rs11632038
6483,6366,,dbSNP:rs17400427,rs17400427 mutation in Protein FAM227B (FAM227B) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=FAM227B,UPKB:H0YK12|GRCh38 ,,1324,Protein FAM227B,rs17400427
6484,6367,,dbSNP:rs17400427,rs17400427 mutation in Fibroblast growth factor (FGF) ( FGF7) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= FGF7,UPKB:H0YNE7|GRCh38 ,,1324,Fibroblast growth factor (FGF),rs17400427
6485,6368,,dbSNP:rs78442819,rs78442819 mutation in Tektin-5 (TEKT5) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=TEKT5,UPKB:Q96M29|GRCh38 ,,1324,Tektin-5,rs78442819
6486,6369,,dbSNP:rs56113850,rs56113850 mutation in Cytochrome P450 2A6 (CYP2A6) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=CYP2A6,UPKB:M0R2Z4|GRCh38 ,,1324,Cytochrome P450 2A6,rs56113850
6487,6370,,dbSNP:rs13080835,rs13080835 mutation in Tumor protein 63 (p63) (TP63) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=TP63,UPKB:A0A0S2Z4N6|GRCh38 ,,1324,Tumor protein 63 (p63),rs13080835
6488,6371,,dbSNP:rs7182948,rs7182948 mutation in Protein FAM227B (FAM227B) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=FAM227B,UPKB:H0YK12|GRCh38 ,,1324,Protein FAM227B,rs7182948
6489,6372,,dbSNP:rs28408315,"rs28408315 mutation in Mortality factor 4-like protein 1 (cDNA FLJ38504 fis, clone HCHON2000156, highly similar to Mortality factor 4-like protein 1) (MORF4L1) ",presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=MORF4L1,UPKB:B3KTM8|GRCh38 ,,1324,"Mortality factor 4-like protein 1 (cDNA FLJ38504 fis, clone HCHON2000156, highly similar to Mortality factor 4-like protein 1)",rs28408315
6490,6373,,dbSNP:rs13213986,rs13213986 mutation in Zinc finger and SCAN domain-containing protein 12 (ZSCAN12) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=ZSCAN12,UPKB:A0A804HJ42|GRCh38 ,,1324,Zinc finger and SCAN domain-containing protein 12,rs13213986
6491,6374,,dbSNP:rs114242735,rs114242735 mutation in Glutathione peroxidase 6 (GPx-6) (GSHPx-6) (EC 1.11.1.9) (GPX6) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=GPX6,UPKB:P59796|GRCh38 ,,1324,Glutathione peroxidase 6 (GPx-6) (GSHPx-6) (EC 1.11.1.9),rs114242735
6492,6375,,dbSNP:rs116461399,rs116461399 mutation in  (NOP56P1 - LINC01623) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=NOP56P1 - LINC01623,GRCh38,,1324,,rs116461399
6493,6376,,dbSNP:rs148696809,rs148696809 mutation in  (LINC01556 - KRT18P1) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=LINC01556 - KRT18P1,GRCh38,,1324,,rs148696809
6494,6377,,dbSNP:rs141600123,rs141600123 mutation in  (OR2J3 - OR2J2) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=OR2J3 - OR2J2,GRCh38,,1324,,rs141600123
6495,6378,,dbSNP:rs139244745,rs139244745 mutation in  (OR2U2P - OR14J1) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=OR2U2P - OR14J1,GRCh38,,1324,,rs139244745
6496,6379,,dbSNP:rs147680653,rs147680653 mutation in  (IFITM4P - HLA-V) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=IFITM4P - HLA-V,GRCh38,,1324,,rs147680653
6497,6380,,dbSNP:rs147097402,rs147097402 mutation in  (HLA-K - HLA-U) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=HLA-K - HLA-U,GRCh38,,1324,,rs147097402
6498,6381,,dbSNP:rs116480994,rs116480994 mutation in  (POLR1H) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=POLR1H,UPKB:Q9P1U0|GRCh38 ,,1324,,rs116480994
6499,6382,,dbSNP:rs116480994,rs116480994 mutation in  ( POLR1H) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= POLR1H,GRCh38,,1324,,rs116480994
6500,6383,,dbSNP:rs116480994,rs116480994 mutation in  ( POLR1H) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= POLR1H,GRCh38,,1324,,rs116480994
6501,6384,,dbSNP:rs116480994,rs116480994 mutation in  ( POLR1H) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= POLR1H,GRCh38,,1324,,rs116480994
6502,6385,,dbSNP:rs116480994,rs116480994 mutation in  ( POLR1H) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= POLR1H,GRCh38,,1324,,rs116480994
6503,6386,,dbSNP:rs116480994,rs116480994 mutation in  ( POLR1H) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= POLR1H,GRCh38,,1324,,rs116480994
6504,6387,,dbSNP:rs116418332,rs116418332 mutation in Tripartite motif-containing protein 26 (TRIM26) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=TRIM26,UPKB:A0A0G2JIW2|GRCh38 ,,1324,Tripartite motif-containing protein 26,rs116418332
6505,6388,,dbSNP:rs116418332,rs116418332 mutation in Tripartite motif-containing protein 26 ( TRIM26) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= TRIM26,UPKB:A0A0G2JIW2|GRCh38 ,,1324,Tripartite motif-containing protein 26,rs116418332
6506,6389,,dbSNP:rs116418332,rs116418332 mutation in Tripartite motif-containing protein 26 ( TRIM26) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= TRIM26,UPKB:A0A0G2JIW2|GRCh38 ,,1324,Tripartite motif-containing protein 26,rs116418332
6507,6390,,dbSNP:rs116418332,rs116418332 mutation in Tripartite motif-containing protein 26 ( TRIM26) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= TRIM26,UPKB:A0A0G2JIW2|GRCh38 ,,1324,Tripartite motif-containing protein 26,rs116418332
6508,6391,,dbSNP:rs116418332,rs116418332 mutation in Tripartite motif-containing protein 26 ( TRIM26) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= TRIM26,UPKB:A0A0G2JIW2|GRCh38 ,,1324,Tripartite motif-containing protein 26,rs116418332
6509,6392,,dbSNP:rs116418332,rs116418332 mutation in Tripartite motif-containing protein 26 ( TRIM26) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= TRIM26,UPKB:A0A0G2JIW2|GRCh38 ,,1324,Tripartite motif-containing protein 26,rs116418332
6510,6393,,dbSNP:rs116310021,rs116310021 mutation in  (UBQLN1P1 - MICC) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=UBQLN1P1 - MICC,GRCh38,,1324,,rs116310021
6511,6394,,dbSNP:rs142618987,rs142618987 mutation in  (LINC02569 - GNL1) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=LINC02569 - GNL1,GRCh38,,1324,,rs142618987
6512,6395,,dbSNP:rs114274879,rs114274879 mutation in valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (VARS2) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=VARS2,UPKB:A0A0A0MTG1|GRCh38 ,,1324,valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase),rs114274879
6513,6396,,dbSNP:rs114274879,rs114274879 mutation in valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) ( VARS2) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= VARS2,UPKB:A0A0A0MTG1|GRCh38 ,,1324,valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase),rs114274879
6514,6397,,dbSNP:rs114274879,rs114274879 mutation in valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) ( VARS2) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= VARS2,UPKB:A0A0A0MTG1|GRCh38 ,,1324,valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase),rs114274879
6515,6398,,dbSNP:rs116725014,rs116725014 mutation in Mucin 22 (MUC22) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=MUC22,UPKB:M1TIV1|GRCh38 ,,1324,Mucin 22,rs116725014
6516,6399,,dbSNP:rs115390513,rs115390513 mutation in  (HCG27 - HLA-C) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=HCG27 - HLA-C,GRCh38,,1324,,rs115390513
6517,6400,,dbSNP:rs116822326,rs116822326 mutation in HLA class I histocompatibility antigen protein P5 (HLA complex protein P5) (Protein P5-1) (HCP5) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=HCP5,UPKB:Q6MZN7|GRCh38 ,,1324,HLA class I histocompatibility antigen protein P5 (HLA complex protein P5) (Protein P5-1),rs116822326
6518,6401,,dbSNP:rs139789464,rs139789464 mutation in Apolipoprotein M (APOM) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=APOM,UPKB:Q5SRP5|GRCh38 ,,1324,Apolipoprotein M,rs139789464
6519,6402,,dbSNP:rs139789464,rs139789464 mutation in Apolipoprotein M ( APOM) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= APOM,UPKB:Q5SRP5|GRCh38 ,,1324,Apolipoprotein M,rs139789464
6520,6403,,dbSNP:rs139789464,rs139789464 mutation in Apolipoprotein M ( APOM) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= APOM,UPKB:Q5SRP5|GRCh38 ,,1324,Apolipoprotein M,rs139789464
6521,6404,,dbSNP:rs139789464,rs139789464 mutation in Apolipoprotein M ( APOM) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= APOM,UPKB:Q5SRP5|GRCh38 ,,1324,Apolipoprotein M,rs139789464
6522,6405,,dbSNP:rs139789464,rs139789464 mutation in Apolipoprotein M ( APOM) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= APOM,UPKB:Q5SRP5|GRCh38 ,,1324,Apolipoprotein M,rs139789464
6523,6406,,dbSNP:rs139789464,rs139789464 mutation in Apolipoprotein M ( APOM) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= APOM,UPKB:Q5SRP5|GRCh38 ,,1324,Apolipoprotein M,rs139789464
6524,6407,,dbSNP:rs139285835,rs139285835 mutation in  (SNHG32 - NEU1) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=SNHG32 - NEU1,GRCh38,,1324,,rs139285835
6525,6408,,dbSNP:rs144433536,rs144433536 mutation in Tenascin-X (TNXB) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=TNXB,UPKB:A0A087WWA5|GRCh38 ,,1324,Tenascin-X,rs144433536
6526,6409,,dbSNP:rs144433536,rs144433536 mutation in Tenascin-X ( TNXB) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= TNXB,UPKB:A0A087WWA5|GRCh38 ,,1324,Tenascin-X,rs144433536
6527,6410,,dbSNP:rs114665747,rs114665747 mutation in  (NOTCH4 - TSBP1-AS1) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=NOTCH4 - TSBP1-AS1,GRCh38,,1324,,rs114665747
6528,6411,,dbSNP:rs114937304,rs114937304 mutation in  (TSBP1-AS1) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=TSBP1-AS1,GRCh38,,1324,,rs114937304
6529,6412,,dbSNP:rs74942078,"rs74942078 mutation in HLA class II histocompatibility antigen, DQ alpha 1 chain (DC-1 alpha chain) (DC-alpha) (HLA-DCA) (MHC class II DQA1) (HLA-DQA1) ",presence of,risk_biomarker,blood (UN:0000178),44728-4,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=HLA-DQA1,UPKB:P01909|GRCh38 ,Bld/Tiss,1324,"HLA class II histocompatibility antigen, DQ alpha 1 chain (DC-1 alpha chain) (DC-alpha) (HLA-DCA) (MHC class II DQA1)",rs74942078
6530,6413,,dbSNP:rs74942078,"rs74942078 mutation in HLA class II histocompatibility antigen, DQ alpha 1 chain (DC-1 alpha chain) (DC-alpha) (HLA-DCA) (MHC class II DQA1) ( HLA-DQA1) ",presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= HLA-DQA1,UPKB:P01909|GRCh38 ,,1324,"HLA class II histocompatibility antigen, DQ alpha 1 chain (DC-1 alpha chain) (DC-alpha) (HLA-DCA) (MHC class II DQA1)",rs74942078
6531,6414,,dbSNP:rs74942078,"rs74942078 mutation in HLA class II histocompatibility antigen, DQ alpha 1 chain (DC-1 alpha chain) (DC-alpha) (HLA-DCA) (MHC class II DQA1) ( HLA-DQA1) ",presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= HLA-DQA1,UPKB:P01909|GRCh38 ,,1324,"HLA class II histocompatibility antigen, DQ alpha 1 chain (DC-1 alpha chain) (DC-alpha) (HLA-DCA) (MHC class II DQA1)",rs74942078
6532,6415,,dbSNP:rs74942078,"rs74942078 mutation in HLA class II histocompatibility antigen, DQ alpha 1 chain (DC-1 alpha chain) (DC-alpha) (HLA-DCA) (MHC class II DQA1) ( HLA-DQA1) ",presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= HLA-DQA1,UPKB:P01909|GRCh38 ,,1324,"HLA class II histocompatibility antigen, DQ alpha 1 chain (DC-1 alpha chain) (DC-alpha) (HLA-DCA) (MHC class II DQA1)",rs74942078
6533,6416,,dbSNP:rs74942078,"rs74942078 mutation in HLA class II histocompatibility antigen, DQ alpha 1 chain (DC-1 alpha chain) (DC-alpha) (HLA-DCA) (MHC class II DQA1) ( HLA-DQA1) ",presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= HLA-DQA1,UPKB:P01909|GRCh38 ,,1324,"HLA class II histocompatibility antigen, DQ alpha 1 chain (DC-1 alpha chain) (DC-alpha) (HLA-DCA) (MHC class II DQA1)",rs74942078
6534,6417,,dbSNP:rs148861668,rs148861668 mutation in  (HLA-DQB2 - HLA-DOB) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=HLA-DQB2 - HLA-DOB,GRCh38,,1324,,rs148861668
6535,6418,,dbSNP:rs114951367,"rs114951367 mutation in HLA class II histocompatibility antigen, DM beta chain (HLA-DMB) ",presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=HLA-DMB,UPKB:A0A0G2JI43|GRCh38 ,,1324,"HLA class II histocompatibility antigen, DM beta chain",rs114951367
6536,6419,,dbSNP:rs114951367,"rs114951367 mutation in HLA class II histocompatibility antigen, DM beta chain ( HLA-DMB) ",presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= HLA-DMB,UPKB:A0A0G2JI43|GRCh38 ,,1324,"HLA class II histocompatibility antigen, DM beta chain",rs114951367
6537,6420,,dbSNP:rs114951367,"rs114951367 mutation in HLA class II histocompatibility antigen, DM beta chain ( HLA-DMB) ",presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= HLA-DMB,UPKB:A0A0G2JI43|GRCh38 ,,1324,"HLA class II histocompatibility antigen, DM beta chain",rs114951367
6538,6421,,dbSNP:rs114951367,"rs114951367 mutation in HLA class II histocompatibility antigen, DM beta chain ( HLA-DMB) ",presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= HLA-DMB,UPKB:A0A0G2JI43|GRCh38 ,,1324,"HLA class II histocompatibility antigen, DM beta chain",rs114951367
6539,6422,,dbSNP:rs114951367,"rs114951367 mutation in HLA class II histocompatibility antigen, DM beta chain ( HLA-DMB) ",presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= HLA-DMB,UPKB:A0A0G2JI43|GRCh38 ,,1324,"HLA class II histocompatibility antigen, DM beta chain",rs114951367
6540,6423,,dbSNP:rs114951367,"rs114951367 mutation in HLA class II histocompatibility antigen, DM beta chain ( HLA-DMB) ",presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= HLA-DMB,UPKB:A0A0G2JI43|GRCh38 ,,1324,"HLA class II histocompatibility antigen, DM beta chain",rs114951367
6541,6424,,dbSNP:rs114951367,"rs114951367 mutation in HLA class II histocompatibility antigen, DM beta chain ( HLA-DMB) ",presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= HLA-DMB,UPKB:A0A0G2JI43|GRCh38 ,,1324,"HLA class II histocompatibility antigen, DM beta chain",rs114951367
6542,6425,,dbSNP:rs114951367,"rs114951367 mutation in HLA class II histocompatibility antigen, DM beta chain ( HLA-DMB) ",presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= HLA-DMB,UPKB:A0A0G2JI43|GRCh38 ,,1324,"HLA class II histocompatibility antigen, DM beta chain",rs114951367
6543,6426,,dbSNP:rs117534741,rs117534741 mutation in  (RNU4-66P - NA) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=RNU4-66P - NA,GRCh38,,1324,,rs117534741
6544,6427,,dbSNP:rs7591446,rs7591446 mutation in S1 RNA-binding domain-containing protein 1 (SRBD1) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=SRBD1,UPKB:Q8N5C6|GRCh38 ,,1324,S1 RNA-binding domain-containing protein 1,rs7591446
6545,6428,,dbSNP:rs1164302,rs1164302 mutation in  (CNTN6 - NA) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=CNTN6 - NA,GRCh38,,1324,,rs1164302
6546,6429,,dbSNP:rs467095,rs467095 mutation in  (CLPTM1L) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=CLPTM1L,UPKB:Q96KA5|GRCh38 ,,1324,,rs467095
6547,6430,,dbSNP:rs467095,rs467095 mutation in  ( CLPTM1L) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= CLPTM1L,GRCh38,,1324,,rs467095
6548,6431,,dbSNP:rs252152,rs252152 mutation in  (GNPDA1 - NDFIP1) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=GNPDA1 - NDFIP1,GRCh38,,1324,,rs252152
6549,6432,,dbSNP:rs145108385,rs145108385 mutation in  (ANXA2R - ZNF131) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=ANXA2R - ZNF131,GRCh38,,1324,,rs145108385
6550,6433,,dbSNP:rs28745309,"rs28745309 mutation in DNA repair protein XRCC4 (hXRCC4) (X-ray repair cross-complementing protein 4) [Cleaved into: Protein XRCC4, C-terminus (XRCC4/C)] (XRCC4) ",presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=XRCC4,UPKB:Q13426|GRCh38 ,,1324,"DNA repair protein XRCC4 (hXRCC4) (X-ray repair cross-complementing protein 4) [Cleaved into: Protein XRCC4, C-terminus (XRCC4/C)]",rs28745309
6551,6434,,dbSNP:rs78913069,"rs78913069 mutation in DNA repair protein XRCC4 (hXRCC4) (X-ray repair cross-complementing protein 4) [Cleaved into: Protein XRCC4, C-terminus (XRCC4/C)] (XRCC4) ",presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=XRCC4,UPKB:Q13426|GRCh38 ,,1324,"DNA repair protein XRCC4 (hXRCC4) (X-ray repair cross-complementing protein 4) [Cleaved into: Protein XRCC4, C-terminus (XRCC4/C)]",rs78913069
6552,6435,,dbSNP:rs654351,rs654351 mutation in  (TFAP2A-AS1) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=TFAP2A-AS1,GRCh38,,1324,,rs654351
6553,6436,,dbSNP:rs654351,rs654351 mutation in Transcription factor AP-2-alpha (AP-2 transcription factor) (Activating enhancer-binding protein 2-alpha) (Activator protein 2) ( TFAP2A) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query= TFAP2A,UPKB:C1K3N0|GRCh38 ,,1324,Transcription factor AP-2-alpha (AP-2 transcription factor) (Activating enhancer-binding protein 2-alpha) (Activator protein 2),rs654351
6554,6437,,dbSNP:rs72828912,rs72828912 mutation in  (HNRNPA1P58 - NRSN1) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=HNRNPA1P58 - NRSN1,GRCh38,,1324,,rs72828912
6555,6438,,dbSNP:rs35789010,rs35789010 mutation in F-actin-uncapping protein LRRC16A (CARMIL1) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=CARMIL1,UPKB:A0A0U1RQQ1|GRCh38 ,,1324,F-actin-uncapping protein LRRC16A,rs35789010
6556,6439,,dbSNP:rs13191296,rs13191296 mutation in  (SCGN) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=SCGN,UPKB:O76038|GRCh38 ,,1324,,rs13191296
6557,6440,,dbSNP:rs36109883,rs36109883 mutation in  (H2AC6) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=H2AC6,UPKB:Q93077|GRCh38 ,,1324,,rs36109883
6558,6441,,dbSNP:rs34107459,rs34107459 mutation in  (H3C9P - BTN3A2) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=H3C9P - BTN3A2,GRCh38,,1324,,rs34107459
6559,6442,,dbSNP:rs13220495,rs13220495 mutation in Butyrophilin subfamily 3 member A3 secreted isoform (BTN3A3) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=BTN3A3,UPKB:A0A089GIA6|GRCh38 ,,1324,Butyrophilin subfamily 3 member A3 secreted isoform,rs13220495
6560,6443,,dbSNP:rs13201782,rs13201782 mutation in Zinc finger protein 322 (ZNF322) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=ZNF322,UPKB:C9JP13|GRCh38 ,,1324,Zinc finger protein 322,rs13201782
6561,6444,,dbSNP:rs35768595,rs35768595 mutation in  (MIR3143 - RPL10P2) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=MIR3143 - RPL10P2,GRCh38,,1324,,rs35768595
6562,6445,,dbSNP:rs71537559,rs71537559 mutation in  (VN1R10P - ZNF204P) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=VN1R10P - ZNF204P,GRCh38,,1324,,rs71537559
6563,6446,,dbSNP:rs149866169,rs149866169 mutation in  (ZNF184 - HNRNPA1P1) ,presence of,risk_biomarker,,,lung cancer (DOID:1324),gene,GWAS Catalog|https://www.ebi.ac.uk/gwas/search?query=ZNF184 - HNRNPA1P1,GRCh38,,1324,,rs149866169
